2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.016 IST [4684] [unknown]@[unknown] xxx.xxx.xxx.xxx LOG:  connection received: host=xxx.xxx.xxx.xxx port=37400
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.123 IST [4684] postgres@postgres xxx.xxx.xxx.xxx LOG:  connection authenticated: identity="postgres" method=scram-sha-256 (/db1/myserver/postgresql/config/pg_hba.conf:PORT)
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.123 IST [4684] postgres@postgres xxx.xxx.xxx.xxx LOG:  connection authorized: user=postgres database=postgres application_name=pg_dumpall
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.702 IST [4687] [unknown]@[unknown] xxx.xxx.xxx.xxx LOG:  connection received: host=xxx.xxx.xxx.xxx port=37416
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.773 IST [4687] postgres@template1 xxx.xxx.xxx.xxx LOG:  connection authenticated: identity="postgres" method=scram-sha-256 (/db1/myserver/postgresql/config/pg_hba.conf:PORT)
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.773 IST [4687] postgres@template1 xxx.xxx.xxx.xxx LOG:  connection authorized: user=postgres database=template1 application_name=pg_dump
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.409 IST [4687] postgres@template1 xxx.xxx.xxx.xxx LOG:  disconnection: session time: xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.707 user=postgres database=template1 host=xxx.xxx.xxx.xxx port=37416
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.433 IST [4691] [unknown]@[unknown] xxx.xxx.xxx.xxx LOG:  connection received: host=xxx.xxx.xxx.xxx port=47618
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.503 IST [4691] postgres@harsh xxx.xxx.xxx.xxx LOG:  connection authenticated: identity="postgres" method=scram-sha-256 (/db1/myserver/postgresql/config/pg_hba.conf:PORT)
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.503 IST [4691] postgres@harsh xxx.xxx.xxx.xxx LOG:  connection authorized: user=postgres database=harsh application_name=pg_dump
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.348 IST [4691] postgres@harsh xxx.xxx.xxx.xxx LOG:  disconnection: session time: xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.915 user=postgres database=harsh host=xxx.xxx.xxx.xxx port=47618
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.371 IST [4694] [unknown]@[unknown] xxx.xxx.xxx.xxx LOG:  connection received: host=xxx.xxx.xxx.xxx port=47622
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.438 IST [4694] postgres@postgres xxx.xxx.xxx.xxx LOG:  connection authenticated: identity="postgres" method=scram-sha-256 (/db1/myserver/postgresql/config/pg_hba.conf:PORT)
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.438 IST [4694] postgres@postgres xxx.xxx.xxx.xxx LOG:  connection authorized: user=postgres database=postgres application_name=pg_dump
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.791 IST [4694] postgres@postgres xxx.xxx.xxx.xxx LOG:  disconnection: session time: xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.420 user=postgres database=postgres host=xxx.xxx.xxx.xxx port=47622
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.793 IST [4684] postgres@postgres xxx.xxx.xxx.xxx LOG:  disconnection: session time: xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.778 user=postgres database=postgres host=xxx.xxx.xxx.xxx port=37400
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.201 IST [1217] @  LOG:  received smart shutdown request
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.607 IST [1217] @  LOG:  received SIGHUP, reloading configuration files
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.609 IST [1217] @  LOG:  background worker "logical replication launcher" (PID 1224) exited with exit code 1
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.609 IST [1219] @  LOG:  shutting down
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.818 IST [1219] @  LOG:  checkpoint starting: shutdown immediate
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.270 IST [1219] @  LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.662 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/192CD88, redo lsn=0/192CD88
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.287 IST [1217] @  LOG:  database system is shut down
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.627 IST [1026] @  LOG:  starting PostgreSQL 16.4 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-22.0.1), 64-bit
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.628 IST [1026] @  LOG:  listening on IPv6 address "::1", port 5432
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.628 IST [1026] @  LOG:  listening on IPv4 address "xxx.xxx.xxx.xxx", port 5432
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.707 IST [1026] @  LOG:  listening on Unix socket "/db1/myserver/postgresql/run/.s.PGSQL.5432"
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.835 IST [1030] @  LOG:  database system was shut down at 2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx IST
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.973 IST [1026] @  LOG:  database system is ready to accept connections
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.927 IST [1028] @  LOG:  checkpoint starting: time
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.453 IST [1028] @  LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.046 s, sync=0.028 s, total=0.527 s; sync files=2, longest=0.015 s, average=0.014 s; distance=0 kB, estimate=0 kB; lsn=0/192CE70, redo lsn=0/192CE38
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.554 IST [1026] @  LOG:  received smart shutdown request
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.006 IST [1026] @  LOG:  received SIGHUP, reloading configuration files
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.007 IST [1026] @  LOG:  background worker "logical replication launcher" (PID 1033) exited with exit code 1
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.008 IST [1028] @  LOG:  shutting down
2026-02-25 xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx:xxxx.163 IST [1028] @  LOG:  checkpoint starting: shutdown immediate
